feature,description
team,
opponent,
result,Match Outcome
is_win,if the match is a win
comp,Competition - Number next to competition states which level in the country's league pyramid this league occupies.
round,Round or Phase of Competition
date,Date listed is local to the match
hour,match start time hour
day_weekend,if the day of the game is on a weekend
is_home,if the game is at home
matches_referee,
gf,Goals For
ga,Goals Against
shooting_standard_sh,Shots Total (Does not include PKs)
shooting_standard_sot,Shots on target (Does not include PKs)
shooting_standard_sot%,Percentage of shots that are on target (Does not include PKs)
shooting_standard_g/sh,Goals per shot
shooting_standard_dist,Average distance in yards from goal of all shots taken
shooting_standard_fk,Shots from free kicks
shooting_standard_pk,Penalty Kicks Made
shooting_standard_pkatt,Penalty Kicks Attempted
shooting_expected_xg,Expected Goals - xG totals include penalty kicks but do not include penalty shootouts (unless otherwise noted). - Provided by StatsBomb.
shooting_expected_npxg,Non-Penalty Expected Goals - Provided by StatsBomb.
shooting_expected_npxg/sh,Non-Penalty Expected Goals per shot - Provided by StatsBomb.
shooting_expected_g_xg,Goals minus Expected Goals - xG totals include penalty kicks but do not include penalty shootouts (unless otherwise noted). - Provided by StatsBomb.
shooting_expected_np_g_xg,Non-Penalty Goals minus Non-Penalty Expected Goals - xG totals include penalty kicks but do not include penalty shootouts (unless otherwise noted). - Provided by StatsBomb.
possession_poss,Number of times a player touched the ball. Note: Receiving a pass then dribbling then sending a pass counts as one touch
possession_touches_touches,Touches in defensive penalty area
possession_touches_def_pen,Touches in defensive penalty area
possession_touches_def_3rd,Touches in defensive 1/3
possession_touches_mid_3rd,Touches in middle 1/3
possession_touches_att_3rd,Touches in attacking 1/3
possession_touches_att_pen,Touches in attacking penalty area
possession_touches_live,Live-ball touches. Does not include corner kicks free kicks throw-ins kick-offs goal kicks or penalty kicks
possession_dribbles_succ,Dribbles Completed Successfully
possession_dribbles_att,Dribbles Attempted
possession_dribbles_succ%,Percentage of Dribbles Completed Successfully
possession_dribbles_#pl,Number of Players Dribbled Past
possession_dribbles_megs,Number of times a player dribbled the ball through an opposing player's legs
possession_carries_carries,Number of times the player controlled the ball with their feet
possession_carries_totdist,total distance in yards a player moved the ball while controlling it with their feet in any direction
possession_carries_prgdist,Progressive Distance - total distance a player moved the ball while controlling it with their feet towards the opponent's goal
possession_carries_prog,Carries that move the ball towards the opponent's goal at least 5 yards or any carry into the penalty area. Excludes carries from the defending 40% of the pitch
possession_carries_1/3,Carries that enter the 1/3 of the pitch closest to the goal
possession_carries_cpa,Carries into the 18-yard box
possession_carries_mis,Number of times a player failed when attempting to gain control of a ball
possession_carries_dis,Number of times a player loses control of the ball after being tackled by an opposing player. Does not include attempted dribbles
possession_receiving_targ,Number of times a player was the target of an attempted pass
possession_receiving_rec,Number of times a player successfully received a pass
possession_receiving_rec%,Passes Received Percentage - Percentage of time a player successfully received a pass
possession_receiving_prog,Progressive Passes Received - Completed passes that move the ball towards the opponent's goal at least 10 yards from its furthest point in the last six passes or any completed pass into the penalty area. Excludes passes from the defending 40% of the pitch
passing_total_cmp,Passes Completed
passing_total_att,Passes Attempted
passing_total_cmp%,Pass Completion Percentage
passing_total_totdist,Total distance in yards that completed passes have traveled in any direction
passing_total_prgdist,Progressive Distance - Total distance in yards that completed passes have traveled towards the opponent's goal. Note: Passes away from opponent's goal are counted as zero progressive yards.
passing_short_cmp,Passes Completed - Passes between 5 and 15 yards
passing_short_att,
passing_short_cmp%,
passing_medium_cmp,Passes Completed - Passes between 15 and 30 yards
passing_medium_att,
passing_medium_cmp%,
passing_long_cmp,Passes Completed - Passes longer than 30 yards
passing_long_att,
passing_long_cmp%,
passing_ast,Assists
passing_xa,xG Assisted
passing_kp,Passes that directly lead to a shot (assisted shots)
passing_1/3,Completed passes that enter the 1/3 of the pitch closest to the goal Not including set pieces
passing_ppa,Completed passes into the 18-yard box Not including set pieces
passing_crspa,Completed crosses into the 18-yard box Not including set pieces
passing_prog,Progressive Passes - Completed passes that move the ball towards the opponent's goal at least 10 yards from its furthest point in the last six passes or any completed pass into the penalty area. Excludes passes from the defending 40% of the pitch
defense_tackles_tkl,Number of players tackled
defense_tackles_tklw,Tackles in which the tackler's team won possession of the ball
defense_tackles_def_3rd,Tackles in defensive 1/3
defense_tackles_mid_3rd,Tackles in middle 1/3
defense_tackles_att_3rd, Tackles in attacking 1/3
defense_vs_dribbles_tkl,Number of dribblers tackled
defense_vs_dribbles_att,Number of times dribbled past plus number of tackles
defense_vs_dribbles_tkl%,Percentage of dribblers tackled
defense_vs_dribbles_past,Number of times dribbled past by an opposing player
defense_pressures_press,Number of times applying pressure to opposing player who is receiving carrying or releasing the ball
defense_pressures_succ,Number of times the squad gained possession withing five seconds of applying pressure
defense_pressures_%,Successful Pressure Percentage
defense_pressures_def_3rd,Number of times applying pressure to opposing player who is receiving carrying or releasing the ball in the defensive 1/3
defense_pressures_mid_3rd,Number of times applying pressure to opposing player who is receiving carrying or releasing the ball in the middle 1/3
defense_pressures_att_3rd,Number of times applying pressure to opposing player who is receiving carrying or releasing the ball in the attacking 1/3
defense_blocks_blocks,Number of times blocking the ball by standing in its path
defense_blocks_sh,Number of times blocking a shot by standing in its path
defense_blocks_shsv,Number of times blocking a shot that was on target by standing in its path
defense_blocks_pass,Number of times blocking a pass by standing in its path
defense_int,Interceptions
defense_clr,Clearances
defense_err,Mistakes leading to an opponent's shot
